MONTH,ACCOUNT_ID,AMOUNT
2022/01,10101,319.15
2022/01,10302,326.34
2022/01,10307,311.26
2022/01,10780,249.69
2022/02,10101,819.74
2022/02,10302,33.90
2022/02,10780,1103.44
2022/02,11506,431.12
2022/03,10101,1214.47
2022/03,10302,399.88
2022/03,10506,646.17
2022/03,10780,1272.39
2022/03,21506,294.53
2022/04,10101,497.84
2022/04,10302,370.59
2022/04,10506,1576.55
2022/04,10780,351.25
2022/05,10101,971.04
2022/05,10302,946.83
2022/05,10506,554.10
2022/05,10780,843.57
2022/05,13101,246.84
2022/06,10101,533.21
2022/06,10302,1160.05
2022/06,10506,958.11
2022/06,10780,539.15
2022/07,10302,465.86
2022/07,10506,689.82
2022/07,10780,115.55
2022/07,19302,145.65
